Number,Title,Link URL,PDF URL,Suggested Filename
193,Electrical Catalysis of Forbidden Transitions in Single-Molecule Devices,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202511822,,193. Electrical_Catalysis_of_Forbidden_Transitions_in_SingleMolecule_Devices.pdf
192,Noninvasive cardiac modulation via triplet-sensitized photoswitching in the phototherapeutic window,https://www.nature.com/articles/s41467-025-61301-3,,192. Noninvasive_cardiac_modulation_via_tripletsensitized_photoswitching_in_the_p.pdf
191,Modulation of Photoluminescence and Solar Thermal Energy Storage in Norbornadiene-Quadricyclane Dimers,https://onlinelibrary.wiley.com/doi/full/10.1002/anie.202516629,,191. Modulation_of_Photoluminescence_and_Solar_Thermal_Energy_Storage_in_Norbornadi.pdf
190,Surfactant-enabled strategy for molecular solar thermal energy storage systems in water,https://pubs.rsc.org/en/content/articlelanding/2025/gc/d5gc04357c,,190. Surfactantenabled_strategy_for_molecular_solar_thermal_energy_storage_systems.pdf
189,Enhancing the Statistical Probability Factor in Triplet-Triplet Annihilation Photon Upconversion via TIPS Functionalization,https://pubs.rsc.org/en/content/articlelanding/2025/sc/d5sc05248c,,189. Enhancing_the_Statistical_Probability_Factor_in_TripletTriplet_Annihilation_P.pdf
188,Recent Advances of Recycling of Precious Metals Using Sustainable Chemistry,https://www.sciencedirect.com/science/article/pii/S0010854525007568,,188. Recent_Advances_of_Recycling_of_Precious_Metals_Using_Sustainable_Chemistry.pdf
187,Norbornadiene Quadricyclane as Multimode Photoswitches: Synergistic Light and Protonation-Controlled Heat Release,https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10.1002/cssc.202501005,,187. Norbornadiene_Quadricyclane_as_Multimode_Photoswitches_Synergistic_Light_and.pdf
186,Phase Behavior of Light-Responsive Lyotropic Liquid Crystals for Molecular Solar Thermal Energy Storage,https://pubs.acs.org/doi/10.1021/jacs.5c09267,,186. Phase_Behavior_of_LightResponsive_Lyotropic_Liquid_Crystals_for_Molecular_So.pdf
185,Norbornadiene Based Molecular Solar Thermal Systems Through Substituent Effects,https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/chem.202502294,,185. Norbornadiene_Based_Molecular_Solar_Thermal_Systems_Through_Substituent_Effect.pdf
184,An automated photo-isomerisation and kinetics characterisation system for molecular photoswitches,https://pubs.rsc.org/en/content/articlelanding/2025/dd/d5dd00031a,,184. An_automated_photoisomerisation_and_kinetics_characterisation_system_for_mol.pdf
183,Adsorption and self-assembling of a norbornadiene derivative on Au(1 1 1),https://www.sciencedirect.com/science/article/pii/S016943322501459X,,183. Adsorption_and_selfassembling_of_a_norbornadiene_derivative_on_Au1_1_1.pdf
182,"Design, testing and characterization of noble-metal catalysts for the heat-release reaction of a molecular solar thermal energy storage isomer pair",https://pubs.rsc.org/en/content/articlelanding/2025/cy/d5cy00366k,,182. Design_testing_and_characterization_of_noblemetal_catalysts_for_the_heatrele.pdf
181,Structure-Property Relationship of p-Alkoxyazobenzenes as Molecular Solar Thermal Phase Change Material Energy Storage Systems (MOST-PCM),https://pubs.rsc.org/en/content/articlelanding/2025/tc/d5tc01024a,,181. StructureProperty_Relationship_of_pAlkoxyazobenzenes_as_Molecular_Solar_The.pdf
180,A Practical Synthesis of Multi-Site Functionalized Norbornadiene for Molecular Solar Thermal Energy Storage,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/a-2560-0282,,180. A_Practical_Synthesis_of_MultiSite_Functionalized_Norbornadiene_for_Molecular.pdf
179,Automated Research Platform for Development of Triplet–Triplet Annihilation Photon Upconversion Systems,https://pubs.acs.org/doi/full/10.1021/acscentsci.4c02059,,179. Automated_Research_Platform_for_Development_of_TripletTriplet_Annihilation_P.pdf
178,Photon Upconversion Crystals Doped Bacterial Cellulose Composite Films as Recyclable Photonic Bioplastics,https://www.nature.com/articles/s43246-024-00638-6,,178. Photon_Upconversion_Crystals_Doped_Bacterial_Cellulose_Composite_Films_as_Rec.pdf
177,Sustainable Heat Generation in Flow from a Molecular Solar Thermal Energy Storage System,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/aesr.202400230,,177. Sustainable_Heat_Generation_in_Flow_from_a_Molecular_Solar_Thermal_Energy_Sto.pdf
176,Two-Way Photoswitching Norbornadiene Derivatives for Solar Energy Storage,https://pubs.rsc.org/en/content/articlelanding/2024/sc/d4sc04247f,,176. TwoWay_Photoswitching_Norbornadiene_Derivatives_for_Solar_Energy_Storage.pdf
175,Exploring ortho-dianthrylbenzenes for Molecular Solar Thermal Energy Storage,https://pubs.rsc.org/en/content/articlehtml/2024/ta/d4ta03879g,,175. Exploring_orthodianthrylbenzenes_for_Molecular_Solar_Thermal_Energy_Storage.pdf
174,Machine learning-based interpretation of optical properties of colloidal gold with convolutional neural networks,https://pubs.acs.org/doi/10.1021/acs.jpcc.4c02971,,174. Machine_learningbased_interpretation_of_optical_properties_of_colloidal_gol.pdf
173,Hybrid solar energy device for simultaneous electric power generation and molecular solar thermal energy storage,https://www.cell.com/joule/fulltext/S2542-4351(24)00288-5,,173. Hybrid_solar_energy_device_for_simultaneous_electric_power_generation_and_mol.pdf
172,A surface passivated fluorinated polymer nanocomposite for carbon monoxide resistant plasmonic hydrogen sensing,https://pubs.rsc.org/en/content/articlehtml/2024/ta/d4ta00055b,,172. A_surface_passivated_fluorinated_polymer_nanocomposite_for_carbon_monoxide_r.pdf
171,Norbornadiene-Quadricyclane Photoswitches with Enhanced Solar Spectrum Match,https://doi.org/10.1002/chem.202401430,,171. NorbornadieneQuadricyclane_Photoswitches_with_Enhanced_Solar_Spectrum_Match.pdf
170,Pyrene Functionalized Norbornadiene‐Quadricyclane Fluorescent Photoswitches: Characterization of their Spectral Properties and Application in Imaging of Amyloid Beta Plaques,https://chemistry-europe.onlinelibrary.wiley.com/doi/epdf/10.1002/chem.202400322,,170. Pyrene_Functionalized_NorbornadieneQuadricyclane_Fluorescent_Photoswitches_Ch.pdf
169,Ultralow 1/f noise in epigraphene devices,https://pubs.aip.org/aip/apl/article/124/9/093503/3267486,,169. Ultralow_1f_noise_in_epigraphene_devices.pdf
168,Synthesis and Characterization of Carbon-Based Heterogeneous Catalysts for Energy Release of Molecular Solar Thermal Energy Storage Materials,https://pubs.acs.org/doi/10.1021/acsami.3c16855,,168. Synthesis_and_Characterization_of_CarbonBased_Heterogeneous_Catalysts_for_E.pdf
167,Unveiling the Potential of Heterogeneous Catalysts for Molecular Solar Thermal Systems,https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10.1002/chem.202303230,,167. Unveiling_the_Potential_of_Heterogeneous_Catalysts_for_Molecular_Solar_Therm.pdf
166,"Multichromophoric photoswitches for solar energy storage: from azobenzene to norbornadiene, and MOST things in between",https://pubs.rsc.org/en/content/articlehtml/2024/ta/d3ta05972c,,166. Multichromophoric_photoswitches_for_solar_energy_storage_from_azobenzene_to_.pdf
165,Exploring the impact of select anchor groups for norbornadiene/quadricyclane single-molecule switches,https://pubs.rsc.org/en/content/articlelanding/2023/tc/d3tc02652c,,165. Exploring_the_impact_of_select_anchor_groups_for_norbornadienequ adricyclane_.pdf
164,Site Selectivity of Peptoids as Azobenzene Scaffold for Molecular Solar Thermal Energy Storage,https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10.1002/chem.202303168,,164. Site_Selectivity_of_Peptoids_as_Azobenzene_Scaffold_for_Molecular_Solar_Ther.pdf
163,Statistical Probability Factor in Triplet Mediated Photon Upconversion: A Case Study with Perylene,https://www.google.com/search?client=safari&rls=en&q=Statistical+Probability+Factor+in+Triplet+Mediated+Photon+Upconversion%3A+A+Case+Study+with+Perylene&ie=UTF-8&oe=UTF-8,,163. Statistical_Probability_Factor_in_Triplet_Mediated_Photon_Upconversion_A_Cas.pdf
162,Flow-Integrated Preparation of Norbornadiene Precursors for Solar Thermal Energy Storage,https://chemistry-europe.onlinelibrary.wiley.com/doi/epdf/10.1002/cssc.202301184?saml_referrer,,162. FlowIntegrated_Preparation_of_Norbornadiene_Precursors_for_Solar_Thermal_Ene.pdf
